auth_name,code,name,proj4string
EPSG,2159,Sierra Leone 1924 / New Colony Grid,+proj=tmerc +lat_0=6.66666666666667 +lon_0=-12 +k=1 +x_0=152399.855090754 +y_0=0 +a=6378300 +rf=296 +to_meter=0.304799710181509 +no_defs +type=crs
EPSG,2160,Sierra Leone 1924 / New War Office Grid,+proj=tmerc +lat_0=6.66666666666667 +lon_0=-12 +k=1 +x_0=243839.768145207 +y_0=182879.826108905 +a=6378300 +rf=296 +to_meter=0.304799710181509 +no_defs +type=crs
EPSG,2161,Sierra Leone 1968 / UTM zone 28N,+proj=utm +zone=28 +a=6378249.145 +rf=293.465 +units=m +no_defs +type=crs
EPSG,2162,Sierra Leone 1968 / UTM zone 29N,+proj=utm +zone=29 +a=6378249.145 +rf=293.465 +units=m +no_defs +type=crs
EPSG,2164,Locodjo 1965 / TM 5 NW,+proj=tmerc +lat_0=0 +lon_0=-5 +k=0.9996 +x_0=500000 +y_0=0 +a=6378249.145 +rf=293.465 +units=m +no_defs +type=crs
EPSG,2165,Abidjan 1987 / TM 5 NW,+proj=tmerc +lat_0=0 +lon_0=-5 +k=0.9996 +x_0=500000 +y_0=0 +a=6378249.145 +rf=293.465 +units=m +no_defs +type=crs
EPSG,2169,LUREF / Luxembourg TM,+proj=tmerc +lat_0=49.8333333333333 +lon_0=6.16666666666667 +k=1 +x_0=80000 +y_0=100000 +ellps=intl +units=m +no_defs +type=crs
EPSG,2172,Pulkovo 1942(58) / Poland zone II,+proj=sterea +lat_0=53.0019444444444 +lon_0=21.5027777777778 +k=0.9998 +x_0=4603000 +y_0=5806000 +ellps=krass +units=m +no_defs +type=crs
EPSG,2173,Pulkovo 1942(58) / Poland zone III,+proj=sterea +lat_0=53.5833333333333 +lon_0=17.0083333333333 +k=0.9998 +x_0=3501000 +y_0=5999000 +ellps=krass +units=m +no_defs +type=crs
EPSG,2174,Pulkovo 1942(58) / Poland zone IV,+proj=sterea +lat_0=51.6708333333333 +lon_0=16.6722222222222 +k=0.9998 +x_0=3703000 +y_0=5627000 +ellps=krass +units=m +no_defs +type=crs
EPSG,2175,Pulkovo 1942(58) / Poland zone V,+proj=tmerc +lat_0=0 +lon_0=18.9583333333333 +k=0.999983 +x_0=237000 +y_0=-4700000 +ellps=krass +units=m +no_defs +type=crs
EPSG,2176,ETRF2000-PL / CS2000/15,+proj=tmerc +lat_0=0 +lon_0=15 +k=0.999923 +x_0=5500000 +y_0=0 +ellps=GRS80 +units=m +no_defs +type=crs
EPSG,2177,ETRF2000-PL / CS2000/18,+proj=tmerc +lat_0=0 +lon_0=18 +k=0.999923 +x_0=6500000 +y_0=0 +ellps=GRS80 +units=m +no_defs +type=crs
EPSG,2178,ETRF2000-PL / CS2000/21,+proj=tmerc +lat_0=0 +lon_0=21 +k=0.999923 +x_0=7500000 +y_0=0 +ellps=GRS80 +units=m +no_defs +type=crs
